,individual,hinc,psize,ttme_air,invc_air,invt_air,gc_air,ttme_train,invc_train,invt_train,gc_train,ttme_bus,invc_bus,invt_bus,gc_bus,invc_car,invt_car,gc_car,mode_chosen
0,70.0,30.0,4.0,10.0,61.0,80.0,73.0,44.0,24.0,350.0,77.0,53.0,19.0,395.0,79.0,4.0,314.0,52.0,1.0
1,8.0,15.0,4.0,64.0,48.0,154.0,71.0,55.0,25.0,360.0,80.0,53.0,14.0,462.0,84.0,4.0,351.0,57.0,2.0
2,62.0,35.0,2.0,64.0,58.0,74.0,69.0,30.0,21.0,295.0,66.0,53.0,24.0,389.0,83.0,7.0,315.0,55.0,2.0
3,61.0,40.0,3.0,45.0,75.0,75.0,96.0,44.0,33.0,418.0,96.0,53.0,28.0,463.0,98.0,5.0,291.0,49.0,1.0
4,27.0,70.0,1.0,20.0,106.0,190.0,127.0,34.0,72.0,659.0,143.0,35.0,33.0,653.0,104.0,44.0,592.0,108.0,1.0
5,52.0,8.0,2.0,45.0,105.0,115.0,122.0,44.0,35.0,622.0,130.0,53.0,31.0,616.0,125.0,12.0,577.0,100.0,1.0
6,65.0,45.0,4.0,64.0,65.0,154.0,89.0,44.0,53.0,621.0,147.0,53.0,32.0,615.0,125.0,9.0,535.0,90.0,4.0
7,9.0,60.0,1.0,60.0,81.0,70.0,89.0,34.0,32.0,341.0,69.0,35.0,26.0,386.0,68.0,13.0,307.0,46.0,1.0
8,73.0,10.0,2.0,64.0,62.0,235.0,98.0,45.0,45.0,465.0,116.0,53.0,17.0,623.0,111.0,13.0,559.0,98.0,2.0
9,15.0,70.0,3.0,64.0,92.0,203.0,123.0,44.0,77.0,961.0,223.0,53.0,46.0,951.0,190.0,17.0,780.0,135.0,4.0
10,62.0,60.0,1.0,30.0,93.0,175.0,112.0,34.0,96.0,1030.0,208.0,35.0,51.0,1020.0,162.0,54.0,967.0,159.0,1.0
11,3.0,60.0,2.0,90.0,64.0,155.0,88.0,44.0,74.0,678.0,177.0,53.0,35.0,672.0,137.0,20.0,629.0,115.0,1.0
12,3.0,40.0,1.0,69.0,115.0,125.0,129.0,34.0,98.0,892.0,195.0,35.0,53.0,882.0,149.0,23.0,720.0,101.0,4.0
13,57.0,70.0,4.0,64.0,44.0,100.0,59.0,44.0,25.0,351.0,78.0,53.0,20.0,361.0,75.0,5.0,180.0,32.0,4.0
14,52.0,36.0,1.0,90.0,151.0,95.0,161.0,34.0,96.0,895.0,193.0,35.0,51.0,885.0,147.0,35.0,844.0,127.0,1.0
15,59.0,45.0,3.0,64.0,86.0,167.0,112.0,44.0,75.0,972.0,222.0,53.0,44.0,962.0,190.0,13.0,870.0,145.0,2.0
16,29.0,32.0,1.0,69.0,111.0,276.0,141.0,34.0,93.0,1047.0,207.0,30.0,35.0,860.0,128.0,42.0,1008.0,151.0,4.0
17,58.0,72.0,2.0,64.0,58.0,93.0,72.0,10.0,28.0,305.0,75.0,53.0,25.0,346.0,78.0,9.0,316.0,57.0,2.0
18,67.0,40.0,1.0,45.0,126.0,135.0,141.0,34.0,70.0,596.0,135.0,35.0,31.0,590.0,95.0,32.0,577.0,95.0,4.0
19,69.0,60.0,2.0,90.0,64.0,155.0,88.0,44.0,74.0,678.0,177.0,53.0,35.0,672.0,137.0,20.0,629.0,115.0,1.0
20,11.0,35.0,3.0,64.0,94.0,163.0,119.0,25.0,68.0,755.0,183.0,53.0,47.0,895.0,183.0,16.0,879.0,149.0,4.0
21,28.0,12.0,1.0,69.0,121.0,152.0,137.0,34.0,52.0,889.0,149.0,35.0,50.0,879.0,146.0,50.0,780.0,135.0,4.0
22,27.0,40.0,2.0,60.0,70.0,95.0,93.0,44.0,31.0,360.0,85.0,53.0,25.0,405.0,86.0,7.0,335.0,58.0,1.0
23,23.0,8.0,1.0,64.0,103.0,145.0,125.0,50.0,73.0,840.0,200.0,53.0,43.0,892.0,178.0,50.0,894.0,186.0,2.0
24,8.0,20.0,1.0,69.0,108.0,163.0,125.0,34.0,89.0,905.0,187.0,30.0,43.0,785.0,128.0,35.0,879.0,130.0,3.0
25,51.0,12.0,1.0,69.0,110.0,249.0,137.0,45.0,22.0,890.0,119.0,35.0,47.0,955.0,151.0,38.0,990.0,146.0,2.0
26,28.0,60.0,2.0,64.0,60.0,144.0,82.0,44.0,32.0,404.0,93.0,53.0,26.0,449.0,94.0,8.0,270.0,49.0,4.0
27,34.0,60.0,2.0,64.0,60.0,144.0,82.0,44.0,32.0,404.0,93.0,53.0,26.0,449.0,94.0,8.0,270.0,49.0,4.0
28,67.0,60.0,3.0,64.0,92.0,161.0,117.0,40.0,73.0,792.0,193.0,53.0,46.0,920.0,186.0,16.0,887.0,151.0,4.0
29,68.0,4.0,1.0,69.0,59.0,114.0,72.0,34.0,16.0,378.0,57.0,5.0,14.0,370.0,54.0,17.0,335.0,53.0,3.0
30,53.0,30.0,2.0,64.0,58.0,68.0,68.0,44.0,31.0,354.0,84.0,53.0,25.0,399.0,85.0,11.0,255.0,50.0,4.0
31,20.0,45.0,2.0,64.0,60.0,144.0,82.0,44.0,32.0,404.0,93.0,53.0,26.0,449.0,94.0,8.0,600.0,99.0,4.0
32,46.0,26.0,1.0,75.0,125.0,110.0,137.0,34.0,70.0,596.0,135.0,35.0,31.0,590.0,95.0,24.0,577.0,87.0,1.0
33,9.0,35.0,3.0,64.0,85.0,101.0,101.0,44.0,73.0,870.0,205.0,53.0,42.0,860.0,173.0,12.0,600.0,103.0,4.0
34,36.0,50.0,1.0,30.0,145.0,90.0,158.0,44.0,31.0,343.0,83.0,53.0,25.0,388.0,84.0,13.0,296.0,58.0,1.0
35,10.0,15.0,2.0,64.0,58.0,93.0,72.0,10.0,30.0,315.0,78.0,53.0,13.0,346.0,65.0,6.0,316.0,54.0,4.0
36,36.0,18.0,2.0,15.0,85.0,65.0,92.0,34.0,15.0,361.0,55.0,35.0,12.0,406.0,56.0,9.0,296.0,41.0,1.0
37,57.0,45.0,1.0,69.0,107.0,150.0,123.0,34.0,91.0,914.0,190.0,35.0,46.0,904.0,144.0,36.0,750.0,117.0,4.0
38,45.0,12.0,2.0,64.0,109.0,190.0,138.0,40.0,24.0,399.0,85.0,53.0,46.0,951.0,190.0,27.0,897.0,163.0,2.0
39,24.0,50.0,3.0,64.0,71.0,133.0,91.0,44.0,59.0,625.0,153.0,53.0,32.0,619.0,126.0,8.0,510.0,85.0,4.0
40,64.0,42.0,1.0,69.0,59.0,114.0,71.0,34.0,31.0,389.0,73.0,15.0,21.0,243.0,47.0,13.0,334.0,49.0,3.0
41,21.0,50.0,2.0,64.0,82.0,159.0,106.0,44.0,71.0,765.0,187.0,53.0,32.0,759.0,147.0,13.0,490.0,87.0,4.0
42,28.0,20.0,1.0,69.0,59.0,148.0,75.0,45.0,18.0,305.0,51.0,35.0,14.0,456.0,63.0,16.0,427.0,62.0,2.0
43,45.0,50.0,1.0,40.0,48.0,115.0,60.0,34.0,31.0,365.0,70.0,35.0,25.0,410.0,69.0,16.0,308.0,49.0,1.0
44,80.0,60.0,1.0,30.0,93.0,175.0,112.0,34.0,96.0,1030.0,208.0,35.0,51.0,1020.0,162.0,54.0,967.0,159.0,1.0
45,49.0,45.0,4.0,64.0,65.0,154.0,89.0,44.0,53.0,621.0,147.0,53.0,32.0,615.0,125.0,9.0,535.0,90.0,4.0
46,13.0,70.0,2.0,15.0,87.0,110.0,104.0,44.0,31.0,348.0,84.0,53.0,25.0,393.0,85.0,7.0,320.0,56.0,1.0
47,38.0,35.0,3.0,64.0,88.0,119.0,106.0,50.0,78.0,775.0,196.0,53.0,43.0,840.0,170.0,16.0,855.0,146.0,2.0
48,64.0,35.0,3.0,45.0,74.0,70.0,85.0,44.0,26.0,361.0,81.0,53.0,21.0,406.0,82.0,4.0,315.0,52.0,1.0
49,80.0,45.0,3.0,64.0,86.0,167.0,112.0,44.0,75.0,972.0,222.0,53.0,44.0,962.0,190.0,13.0,870.0,145.0,4.0
50,39.0,70.0,2.0,15.0,87.0,110.0,104.0,44.0,31.0,348.0,84.0,53.0,25.0,393.0,85.0,7.0,320.0,56.0,4.0
51,58.0,6.0,1.0,69.0,67.0,86.0,76.0,20.0,21.0,300.0,54.0,35.0,19.0,399.0,63.0,17.0,327.0,53.0,2.0
52,32.0,30.0,1.0,69.0,59.0,117.0,72.0,34.0,32.0,397.0,75.0,35.0,26.0,442.0,74.0,17.0,180.0,37.0,4.0
53,24.0,35.0,1.0,69.0,108.0,180.0,128.0,34.0,89.0,901.0,187.0,35.0,44.0,891.0,141.0,34.0,720.0,112.0,4.0
54,10.0,30.0,1.0,69.0,59.0,117.0,72.0,34.0,32.0,397.0,75.0,35.0,26.0,442.0,74.0,17.0,180.0,37.0,4.0
55,46.0,26.0,2.0,60.0,90.0,100.0,105.0,44.0,69.0,596.0,160.0,53.0,30.0,590.0,120.0,13.0,577.0,101.0,1.0
56,20.0,40.0,1.0,69.0,59.0,100.0,70.0,34.0,31.0,372.0,71.0,35.0,25.0,417.0,70.0,17.0,210.0,40.0,4.0
57,32.0,34.0,1.0,69.0,60.0,133.0,74.0,34.0,31.0,397.0,74.0,15.0,21.0,240.0,47.0,14.0,351.0,52.0,3.0
58,9.0,30.0,1.0,69.0,60.0,123.0,73.0,15.0,24.0,365.0,64.0,35.0,25.0,430.0,71.0,13.0,332.0,49.0,3.0
59,60.0,50.0,1.0,30.0,145.0,90.0,158.0,44.0,31.0,343.0,83.0,53.0,25.0,388.0,84.0,13.0,296.0,58.0,4.0
60,2.0,18.0,2.0,15.0,85.0,65.0,92.0,34.0,15.0,361.0,55.0,35.0,12.0,406.0,56.0,9.0,296.0,41.0,1.0
61,39.0,35.0,1.0,69.0,91.0,117.0,104.0,34.0,77.0,630.0,145.0,35.0,38.0,624.0,106.0,29.0,540.0,88.0,4.0
62,32.0,50.0,1.0,90.0,55.0,115.0,72.0,44.0,72.0,602.0,163.0,53.0,33.0,596.0,123.0,24.0,589.0,113.0,1.0
63,26.0,26.0,1.0,45.0,180.0,160.0,197.0,34.0,89.0,985.0,196.0,35.0,44.0,975.0,150.0,39.0,896.0,136.0,1.0
64,4.0,26.0,1.0,69.0,60.0,127.0,73.0,20.0,19.0,325.0,55.0,35.0,25.0,435.0,72.0,14.0,350.0,52.0,2.0
65,64.0,50.0,1.0,90.0,142.0,105.0,153.0,34.0,71.0,596.0,136.0,35.0,32.0,590.0,96.0,33.0,577.0,96.0,1.0
66,74.0,45.0,1.0,69.0,64.0,90.0,73.0,15.0,32.0,325.0,67.0,35.0,29.0,405.0,73.0,18.0,327.0,54.0,2.0
67,40.0,4.0,1.0,69.0,62.0,184.0,82.0,34.0,19.0,454.0,68.0,35.0,16.0,464.0,66.0,18.0,225.0,42.0,4.0
68,69.0,18.0,3.0,64.0,48.0,63.0,58.0,10.0,21.0,255.0,60.0,53.0,13.0,397.0,73.0,4.0,324.0,53.0,2.0
69,71.0,40.0,1.0,45.0,126.0,135.0,141.0,34.0,70.0,596.0,135.0,35.0,31.0,590.0,95.0,32.0,577.0,95.0,4.0
70,72.0,6.0,1.0,69.0,105.0,196.0,126.0,40.0,43.0,895.0,140.0,35.0,44.0,919.0,144.0,50.0,935.0,152.0,2.0
71,3.0,8.0,2.0,35.0,95.0,155.0,119.0,44.0,45.0,930.0,186.0,53.0,43.0,920.0,183.0,23.0,860.0,153.0,1.0
72,78.0,45.0,2.0,40.0,100.0,105.0,116.0,44.0,70.0,622.0,165.0,53.0,31.0,616.0,125.0,17.0,577.0,105.0,1.0
73,79.0,45.0,1.0,80.0,75.0,110.0,87.0,34.0,70.0,638.0,140.0,35.0,31.0,632.0,100.0,39.0,581.0,102.0,1.0
74,46.0,8.0,2.0,64.0,103.0,146.0,125.0,25.0,36.0,875.0,169.0,53.0,43.0,943.0,186.0,19.0,887.0,154.0,2.0
75,15.0,26.0,3.0,64.0,51.0,90.0,64.0,20.0,61.0,350.0,114.0,53.0,22.0,405.0,83.0,6.0,327.0,56.0,2.0
76,12.0,6.0,1.0,69.0,129.0,185.0,149.0,34.0,67.0,933.0,168.0,20.0,54.0,820.0,143.0,38.0,894.0,135.0,3.0
77,3.0,50.0,3.0,64.0,71.0,119.0,89.0,44.0,58.0,617.0,152.0,15.0,35.0,615.0,128.0,11.0,586.0,100.0,3.0
78,52.0,6.0,1.0,69.0,129.0,185.0,149.0,34.0,67.0,933.0,168.0,20.0,54.0,820.0,143.0,38.0,894.0,135.0,3.0
79,16.0,30.0,1.0,69.0,81.0,95.0,91.0,34.0,70.0,610.0,136.0,35.0,31.0,604.0,96.0,30.0,440.0,78.0,4.0
80,15.0,45.0,6.0,64.0,58.0,148.0,80.0,44.0,48.0,646.0,145.0,53.0,32.0,640.0,129.0,5.0,470.0,76.0,4.0
81,48.0,6.0,1.0,69.0,103.0,138.0,118.0,5.0,22.0,800.0,109.0,35.0,43.0,821.0,132.0,36.0,846.0,128.0,4.0
82,5.0,45.0,1.0,69.0,64.0,90.0,73.0,15.0,32.0,325.0,67.0,35.0,29.0,405.0,73.0,18.0,327.0,54.0,2.0
83,29.0,70.0,5.0,64.0,76.0,147.0,98.0,44.0,63.0,918.0,203.0,53.0,44.0,908.0,182.0,10.0,1440.0,228.0,4.0
84,73.0,70.0,2.0,64.0,59.0,73.0,70.0,45.0,29.0,290.0,73.0,53.0,26.0,395.0,86.0,9.0,314.0,57.0,2.0
85,20.0,70.0,4.0,64.0,66.0,140.0,87.0,44.0,54.0,670.0,156.0,53.0,33.0,664.0,134.0,12.0,540.0,94.0,4.0
86,46.0,45.0,4.0,5.0,60.0,85.0,73.0,44.0,24.0,379.0,81.0,53.0,19.0,424.0,83.0,3.0,337.0,54.0,1.0
87,18.0,26.0,1.0,69.0,81.0,139.0,96.0,34.0,71.0,698.0,147.0,35.0,32.0,692.0,107.0,33.0,600.0,98.0,4.0
88,51.0,50.0,2.0,90.0,71.0,115.0,89.0,44.0,31.0,385.0,89.0,53.0,25.0,430.0,90.0,7.0,332.0,57.0,1.0
89,54.0,26.0,1.0,69.0,59.0,88.0,68.0,34.0,30.0,361.0,70.0,15.0,21.0,295.0,53.0,13.0,299.0,45.0,3.0
90,52.0,70.0,1.0,60.0,111.0,205.0,133.0,34.0,97.0,888.0,193.0,35.0,52.0,878.0,147.0,49.0,855.0,142.0,1.0
91,66.0,30.0,1.0,69.0,60.0,123.0,73.0,15.0,24.0,365.0,64.0,35.0,25.0,430.0,71.0,13.0,332.0,49.0,4.0
92,43.0,45.0,2.0,64.0,60.0,144.0,82.0,44.0,32.0,404.0,93.0,53.0,26.0,449.0,94.0,8.0,600.0,99.0,4.0
93,29.0,15.0,2.0,64.0,58.0,68.0,68.0,44.0,16.0,357.0,70.0,53.0,13.0,402.0,73.0,4.0,210.0,36.0,4.0
94,11.0,36.0,1.0,90.0,151.0,95.0,161.0,34.0,96.0,895.0,193.0,35.0,51.0,885.0,147.0,35.0,844.0,127.0,1.0
95,71.0,50.0,4.0,64.0,45.0,114.0,63.0,44.0,24.0,378.0,81.0,53.0,19.0,423.0,83.0,5.0,240.0,41.0,4.0
96,7.0,4.0,1.0,69.0,107.0,152.0,124.0,30.0,33.0,755.0,115.0,35.0,44.0,882.0,140.0,48.0,845.0,140.0,2.0
97,19.0,12.0,4.0,64.0,84.0,215.0,117.0,99.0,37.0,885.0,171.0,53.0,46.0,966.0,193.0,10.0,921.0,150.0,2.0
98,52.0,20.0,1.0,69.0,81.0,124.0,94.0,34.0,35.0,605.0,100.0,35.0,31.0,599.0,96.0,27.0,510.0,82.0,4.0
99,26.0,60.0,1.0,45.0,94.0,270.0,123.0,34.0,91.0,916.0,190.0,35.0,46.0,906.0,144.0,49.0,872.0,144.0,1.0
100,51.0,30.0,4.0,10.0,61.0,80.0,73.0,44.0,24.0,350.0,77.0,53.0,19.0,395.0,79.0,4.0,314.0,52.0,1.0
101,1.0,12.0,4.0,64.0,84.0,215.0,117.0,99.0,37.0,885.0,171.0,53.0,46.0,966.0,193.0,10.0,921.0,150.0,4.0
102,53.0,15.0,4.0,64.0,48.0,154.0,71.0,55.0,25.0,360.0,80.0,53.0,14.0,462.0,84.0,4.0,351.0,57.0,4.0
103,2.0,32.0,1.0,69.0,104.0,178.0,123.0,34.0,89.0,992.0,197.0,15.0,38.0,675.0,111.0,39.0,900.0,137.0,3.0
104,4.0,50.0,1.0,90.0,55.0,115.0,72.0,44.0,72.0,602.0,163.0,53.0,33.0,596.0,123.0,24.0,589.0,113.0,1.0
105,15.0,35.0,1.0,69.0,60.0,117.0,73.0,10.0,23.0,325.0,58.0,35.0,25.0,425.0,71.0,17.0,307.0,50.0,2.0
106,14.0,50.0,1.0,40.0,48.0,115.0,60.0,34.0,31.0,365.0,70.0,35.0,25.0,410.0,69.0,16.0,308.0,49.0,1.0
107,23.0,18.0,2.0,45.0,85.0,140.0,106.0,44.0,39.0,664.0,139.0,53.0,35.0,658.0,135.0,19.0,592.0,109.0,1.0
108,67.0,6.0,1.0,69.0,103.0,166.0,121.0,45.0,20.0,820.0,109.0,35.0,43.0,836.0,134.0,35.0,886.0,131.0,4.0
109,13.0,70.0,2.0,5.0,64.0,80.0,76.0,44.0,30.0,348.0,83.0,53.0,24.0,393.0,84.0,7.0,291.0,51.0,1.0
110,27.0,35.0,1.0,69.0,108.0,180.0,128.0,34.0,89.0,901.0,187.0,35.0,44.0,891.0,141.0,34.0,720.0,112.0,4.0
111,63.0,4.0,1.0,69.0,62.0,66.0,70.0,10.0,31.0,295.0,63.0,35.0,19.0,397.0,62.0,17.0,307.0,50.0,2.0
112,42.0,50.0,3.0,64.0,71.0,119.0,89.0,44.0,58.0,617.0,152.0,15.0,35.0,615.0,128.0,11.0,586.0,100.0,3.0
113,22.0,60.0,1.0,30.0,93.0,175.0,112.0,34.0,96.0,1030.0,208.0,35.0,51.0,1020.0,162.0,54.0,967.0,159.0,1.0
114,2.0,12.0,1.0,69.0,121.0,152.0,137.0,34.0,52.0,889.0,149.0,35.0,50.0,879.0,146.0,50.0,780.0,135.0,4.0
115,38.0,8.0,1.0,69.0,59.0,98.0,69.0,1.0,11.0,320.0,46.0,35.0,13.0,413.0,57.0,17.0,332.0,53.0,2.0
116,75.0,18.0,3.0,64.0,48.0,63.0,58.0,10.0,21.0,255.0,60.0,53.0,13.0,397.0,73.0,4.0,324.0,53.0,2.0
117,47.0,40.0,1.0,64.0,143.0,166.0,168.0,10.0,83.0,825.0,208.0,53.0,70.0,896.0,206.0,50.0,911.0,188.0,2.0
118,30.0,35.0,1.0,69.0,61.0,73.0,69.0,34.0,33.0,350.0,71.0,50.0,26.0,227.0,51.0,14.0,314.0,48.0,3.0
119,40.0,45.0,6.0,64.0,58.0,148.0,80.0,44.0,48.0,646.0,145.0,53.0,32.0,640.0,129.0,5.0,470.0,76.0,4.0
120,54.0,50.0,3.0,64.0,94.0,231.0,129.0,44.0,79.0,949.0,223.0,40.0,32.0,1110.0,201.0,13.0,942.0,156.0,3.0
121,28.0,30.0,1.0,75.0,99.0,135.0,114.0,34.0,96.0,678.0,169.0,35.0,57.0,672.0,130.0,29.0,629.0,97.0,1.0
122,2.0,70.0,1.0,69.0,67.0,108.0,79.0,34.0,38.0,370.0,78.0,35.0,32.0,415.0,77.0,12.0,240.0,38.0,4.0
123,11.0,60.0,2.0,75.0,165.0,180.0,192.0,44.0,98.0,967.0,245.0,53.0,53.0,922.0,193.0,26.0,947.0,170.0,1.0
124,39.0,60.0,2.0,64.0,60.0,144.0,82.0,44.0,32.0,404.0,93.0,53.0,26.0,449.0,94.0,8.0,270.0,49.0,4.0
125,26.0,8.0,1.0,69.0,59.0,98.0,69.0,1.0,11.0,320.0,46.0,35.0,13.0,413.0,57.0,17.0,332.0,53.0,2.0
126,53.0,40.0,1.0,69.0,115.0,125.0,129.0,34.0,98.0,892.0,195.0,35.0,53.0,882.0,149.0,23.0,720.0,101.0,4.0
127,23.0,45.0,1.0,69.0,57.0,67.0,65.0,34.0,31.0,355.0,69.0,40.0,18.0,245.0,45.0,13.0,320.0,48.0,3.0
128,37.0,30.0,1.0,69.0,108.0,170.0,126.0,30.0,31.0,875.0,126.0,35.0,44.0,887.0,140.0,50.0,884.0,146.0,2.0
129,71.0,70.0,5.0,64.0,76.0,147.0,98.0,44.0,63.0,918.0,203.0,53.0,44.0,908.0,182.0,10.0,1440.0,228.0,4.0
130,31.0,4.0,1.0,69.0,62.0,184.0,82.0,34.0,19.0,454.0,68.0,35.0,16.0,464.0,66.0,18.0,225.0,42.0,4.0
